user_id	item_sequence
0	9449 9839 10076 11155 11752 11863
1	3309 4572 9079 4136 10955 58
2	4208 4386 6362 453 5665 8649 8876 9404 10253
3	8968 10130 8823 8650 10147 3495 9766 10320
4	8935 5097 8071 8346 10162 8823 10227
5	3614 9884 3905 8661 8029 2713 6004 9211 4643 7449 9200
6	9580 9621 9766 9856 10925
7	5380 456 2419 4276 2938 3767 3081
8	4184 598 1177 947 7856 2921
9	7139 2999 3895 7559 3903 3904 6606 7861 9559 10265 8607 1520 6605 7396 7788 7848 8465 8612 10041 10363 10321 5180 5849 8481 7523 9493 3093 7921
10	10841 3530 277 1218 4234 5023 7041
11	10112 454 10093 1189 3312 8747
12	3226 4194 4195 8042 10573 10579 11233 11348 11792
13	5062 6968 7297 6230 5094 5526
14	186 3513 8198 10286 1674
15	663 2243 2645 7223 8843
16	6280 8823 11360 12 7121 9431 10034 10229 10608
17	8445 9193 9194 10257 10346
18	2161 81 5999 7359 7755
19	6308 7294 436 6788 7655
20	4504 2099 4747 4957 9416
21	330 331 2016 2034 3473
22	4060 7228 8825 10761 10797
23	1415 5014 5015 7771 9913
24	5604 5144 6049 9777 14 9561
25	11148 5489 5522 8879 11452
26	270 10084 276 4667 8683 9368 10597 3231 8582 8823 10855
27	6726 8568 10510 10995 11137
28	5039 1823 3403 4732 8989 10002 10941
29	6902 6992 8470 6943 2846 687 6250 7116 9030 9946 10544 184 359 6310 4562 8121
30	9228 6333 1879 5180 5193 8242 9533
31	2244 3802 10238 10777 641 6677 7247 9400
32	3142 406 2308 4064 6800
33	5305 23 10453 925 1989
34	466 490 2243 4309 4504 8217 9194 8484
35	4652 5510 5966 6115 2269 6002 6433 4482 8558 8729 9455 9459 9591 8643 9883 9250 2618 2619 9252 2616 2617 4438 9249 10669 10697 10701 3713 10570 10807 8299 10372 10373 5090 5091 6388 5089 5092 10756 2053 2310 11810 11765 11777 6434 11734 11902 11763 2732 12025 11819
36	2924 7817 3113 3703 4696
37	6848 8558 9584 9589 9591 10527 10560 3714 10689 10916 10557 11903 10726 11614 3603 7135 9783
38	5185 5324 5325 5393 6494 7723 5801 6031 7651 7531 8968
39	9734 10003 5518 8966 8968
40	2463 6857 6861 6864 9386
41	5521 2512 5022 6396 6401 9687
42	5976 5986 9033 10631 11185 4548 8989 9076
43	892 11410 8634 3562 5131 8149 10105 11248 10434 2037 7129 8226 6460
44	2307 326 11081 12000 1903 5169 6359 10463
45	226 3896 6803 6806 536
46	11650 11938 11873 11790 12065
47	4879 663 726 9762 10162 8823 7531 8123 9368 9619 3495 8850 10105 3425 8098 8149 9109 9835 9852 9999 10133 10147 10177 10222 10631 11140 11446 5577 11004 5097 9278 10745 7129 9766 11599
48	916 1491 2044 3080 4262 6387 9082 9087 10334 10355 10864 54 8561 3162 3432 1253 3927 3070 10666 8806 4660 4572 6945 1853
49	3012 9243 1689 2422 10427
50	2576 52 484 1520 4711 8034
51	1733 2932 4179 1491 6141 10994 10435 594 11553 3662 11059
52	771 1929 2638 3926 2500 9567 7217
53	340 8278 2439 5256 6085 8233 8823 8646
54	4168 3357 6327 7418 3420 6952 8574 9599 5105 5106 5187
55	5532 2174 6457 7478 3112 8415 7971 9291 8346 4992 5857 10054 4504 4664 3462 6522 252 554 3017 8736 1543 2548 10415 8345 4671 8737 10730 10826 11247 1467 3601 4954 5842 6485 3593 6461 6464 6486 6972 6402 6460 6615 7458 11922 11893 867 6857 10838 3207 6945
56	687 738 3847 5292 7511
57	4022 2897 6148 5196 1914
58	2721 6207 6699 7002 7936 198 5383 1463 329 5534 3208 2924
59	5953 2021 4055 7564 6868 7000 1767 4186
60	719 769 1801 2707 3035 7767 9632 2921 6358 6672
61	679 1600 4474 6964 8783 8784
62	843 1506 1507 3065 9034
63	3181 3347 5510 9583 9586 9594 10697 9085 10698 10570 10811 10895 10163 10668 10751 10752 5089 11053 8976 8975 1290 11764 11765 11770 11801 11802 11779
64	3548 6432 6433 2471 322 9560 10949
65	1926 102 262 552 3772 7846 453
66	8537 8953 4995 6209 7131 10564 3278
67	908 1120 3662 5242 9083 6434 8152 2971 8025 9379
68	1520 1521 1826 3207 716 11451 4897 1874
69	7209 6734 8043 8888 9195
70	9188 9951 4366 4867 10015
71	3653 3540 9265 9882 3049 10384 1491 8807 10373 11402 11663 12032
72	1576 3779 3166 4440 6769 8029 4977 6742
73	3361 8379 3762 4023 9308
74	9467 10692 10559 10505 11766
75	10281 10689 2661 10668 10688 2688 11709
76	162 247 5006 9476 9727
77	2883 4992 5676 4168 5244
78	8819 1592 8091 1520 3093 10608 11369 11374 10511
79	2467 2986 4910 10290 14 6980 4909 3690
80	3988 2031 46 3251 8312
81	7129 7214 7522 2036 4913 5097 5351 3226 5029 5563 8123 8149 8242 9034 10739
82	6301 1117 3989 545 1084 5095 5106 5167 7659 10441
83	836 2572 6764 817 1056 6131 280 2721 4915 3768 4440 11927 6732
84	1353 2810 70 1261 2557 1351 10381 10752 11215 11219 11707 11769 11710 11711
85	898 4417 3944 1696 4617 7006 848 11384
86	2008 2373 3199 267 6451 8785 6767 3742
87	9846 10796 7476 9403 9766
88	720 4031 2376 2607 2763 3757 4653
89	7180 8471 7365 8485 6401
90	226 4984 3503 8128 1914 7534 10244 1000 2982 9920
91	5361 5634 5696 7171 11783
92	10480 7095 9965 428 6137
93	5500 5412 4335 4188 158 8299
94	1584 2199 2075 1911 7688
95	482 3698 5830 5877 7094 9391 6612 5880
96	4270 6434 10569 5782 10572 10695
97	6905 3194 2027 3595 3831 1212
98	1273 4690 1293 6527 4747 10383
99	9359 11101 846 4449 8445 11310 11311 11921
100	2505 5199 5518 8249 486
101	4509 7848 8029 8957 10132 9998
102	10615 325 7929 11270 2546
103	6432 8073 7910 916 10705 10565 8555 5292 10669 10537 4015 11763
104	266 8643 7806 6310 8783
105	7134 2672 7880 11511 7879
106	8149 6236 9619 9621 9766 9989 10107 10631
107	403 2127 6365 7990 8648 8743 7742 5522
108	2373 11299 11286 11344 11291 11337
109	4267 5342 2719 1239 6047 5527 1026 5142 7225
110	5114 7699 3707 5972 7697 7700 7716 8813
111	2006 6070 7391 8043 8710 10826 879 2053 6867
112	219 5785 2214 5787 5789 5790 7447 4434 5791 5793 3001 2604 3221 6915 7794 2359 2792 7537 6759 8624 2034 8765 8138 9202 6387 2347 9632 3712 8722 8723 9201 6781 820 9203 10645 827 1092 2248 7859 11562
113	770 2214 1885 11243 6959 9722 12 184 2647 5199 8197 10245
114	2336 3801 4049 4051 5347 11051
115	40 4335 2148 3951 3159 10314
116	9721 9874 638 3207 5456 9997 1529 10861 6328 6359 7756
